id,files,abbr,name,typeOfIdentifier,expansion,enclosingMethod
Lorg/apache/maven/artifact/DefaultArtifactTest;.testNonResolvedVersionRangeConsistentlyYieldsNullVersions()V|Ljava/lang/Exception;#vr,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/artifact/DefaultArtifactTest.java;,vr,vr,VariableName,version range,MethodName:testNonResolvedVersionRangeConsistentlyYieldsNullVersions;
Lorg/apache/maven/artifact/versioning/VersionRangeTest;.enforceVersion(Ljava/lang/String;Lorg/apache/maven/artifact/versioning/ArtifactVersion;)Z|Lorg/apache/maven/artifact/versioning/InvalidVersionSpecificationException;#vr,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java;,vr,vr,VariableName,version range,MethodName:enforceVersion;
Lorg/apache/maven/project/ModelUtilsTest;.createDependency(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lorg/apache/maven/model/Dependency;#ver#0#2,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/project/ModelUtilsTest.java;,ver,ver,ParameterName,version,MethodName:createDependency;
Lorg/apache/maven/project/ModelUtilsTest;.testShouldMergePluginExecutionWhenExecInheritedIsTrueAndTreatAsInheritanceIsTrue()V#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/project/ModelUtilsTest.java;,ver,ver,VariableName,version,MethodName:testShouldMergePluginExecutionWhenExecInheritedIsTrueAndTreatAsInheritanceIsTrue;
Lorg/apache/maven/repository/internal/DefaultVersionRangeResolver;.resolveVersionRange(Lorg/eclipse/aether/RepositorySystemSession;Lorg/eclipse/aether/resolution/VersionRangeRequest;)Lorg/eclipse/aether/resolution/VersionRangeResult;|Lorg/eclipse/aether/resolution/VersionRangeResolutionException;#1#0#0#0#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java;,ver,ver,VariableName,version,MethodName:resolveVersionRange;
Lorg/apache/maven/project/ModelUtilsTest;.testShouldNotMergePluginExecutionWhenPluginInheritedIsFalseAndTreatAsInheritanceIsTrue()V#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-compat/src/test/java/org/apache/maven/project/ModelUtilsTest.java;,ver,ver,VariableName,version,MethodName:testShouldNotMergePluginExecutionWhenPluginInheritedIsFalseAndTreatAsInheritanceIsTrue;
Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver;.selectVersion(Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResult;Lorg/apache/maven/plugin/version/PluginVersionRequest;Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver$Versions;)V|Lorg/apache/maven/plugin/version/PluginVersionResolutionException;#0#1#0#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/plugin/version/internal/DefaultPluginVersionResolver.java;,ver,ver,VariableName,version,MethodName:selectVersion;
Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver;.selectVersion(Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResult;Lorg/apache/maven/plugin/version/PluginVersionRequest;Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver$Versions;)V|Lorg/apache/maven/plugin/version/PluginVersionResolutionException;#0#0#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/plugin/version/internal/DefaultPluginVersionResolver.java;,ver,ver,VariableName,version,MethodName:selectVersion;
Lorg/apache/maven/classrealm/DefaultClassRealmManager;.getId(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;#ver#0#4,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java;,ver,ver,ParameterName,version,MethodName:getId;
Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver;.selectVersion(Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResult;Lorg/apache/maven/plugin/version/PluginVersionRequest;Lorg/apache/maven/plugin/version/internal/DefaultPluginVersionResolver$Versions;)V|Lorg/apache/maven/plugin/version/PluginVersionResolutionException;#0#2#0#ver,C:/PHDONE/runtime-EclipseApplication/maven-3.5.2/maven-core/src/main/java/org/apache/maven/plugin/version/internal/DefaultPluginVersionResolver.java;,ver,ver,VariableName,version,MethodName:selectVersion;
